Rk|Player|Nation|Pos|Squad|Age|Born|90s|CrdY|CrdR|2CrdY|Fls|Fld|Off|Crs|Int|TklW|PKwon|PKcon|OG|Matches
166|Sam Field|eng ENG|MF|West Brom|18|1998|3.1|2|0|0|5|2|0|7|4|6|0|0|0|Matches
167|Roberto Firmino|br BRA|"FW,MF"|Liverpool|24|1991|34.0|5|0|0|50|31|19|60|25|42|3|0|0|Matches
168|Viktor Fischer|dk DEN|"FW,MF"|Middlesbrough|22|1994|4.9|0|0|0|1|7|3|16|1|4|0|0|0|Matches
169|Mathieu Flamini|fr FRA|MF|Crystal Palace|32|1984|3.0|0|0|0|1|0|0|1|5|2|0|0|0|Matches
170|Jon Flanagan|eng ENG|DF|Burnley|23|1993|4.0|2|0|0|9|2|0|5|14|14|0|0|0|Matches
171|Ashley Fletcher|eng ENG|FW|West Ham|20|1995|4.1|2|0|0|9|5|1|6|0|2|0|0|0|Matches
172|Darren Fletcher|sct SCO|MF|West Brom|32|1984|35.9|0|0|0|22|24|1|31|44|30|0|0|0|Matches
173|Michael Folivi|eng ENG|FW|Watford|18|1998|0.1|0|0|0|1|0|0|0|0|0|0|0|0|Matches
174|José Fonte|pt POR|DF|Southampton|32|1983|17.0|2|0|0|17|12|0|3|37|20|0|2|0|Matches
175|José Fonte|pt POR|DF|West Ham|32|1983|15.6|2|0|0|11|5|0|4|39|14|0|2|0|Matches
Rk|Player|Nation|Pos|Squad|Age|Born|90s|CrdY|CrdR|2CrdY|Fls|Fld|Off|Crs|Int|TklW|PKwon|PKcon|OG|Matches
176|Adam Forshaw|eng ENG|MF|Middlesbrough|24|1991|29.9|4|0|0|34|33|1|51|36|42|1|0|0|Matches
177|Fraser Forster|eng ENG|GK|Southampton|28|1988|38.0|3|0|0|0|0|0|1|0|2|0|0|0|Matches
178|Ben Foster|eng ENG|GK|West Brom|33|1983|38.0|2|0|0|0|5|0|0|2|0|0|0|0|Matches
179|Timothy Fosu-Mensah|nl NED|DF|Manchester Utd|18|1998|1.1|0|0|0|3|0|0|0|2|4|0|0|0|Matches
180|Simon Francis|eng ENG|DF|Bournemouth|31|1985|32.7|4|1|0|27|20|0|67|56|51|0|2|0|Matches
181|Ryan Fraser|sct SCO|"FW,MF"|Bournemouth|22|1994|19.6|3|0|0|18|64|2|127|13|13|5|0|0|Matches
182|George Friend|eng ENG|"DF,MF"|Middlesbrough|28|1987|21.8|4|0|0|29|24|0|36|56|49|0|0|0|Matches
183|Zeki Fryers|eng ENG|DF|Crystal Palace|23|1992|2.1|0|0|0|4|2|0|9|2|1|0|0|0|Matches
184|Christian Fuchs|at AUT|"DF,MF"|Leicester City|30|1986|34.5|10|0|0|29|10|1|96|68|76|0|0|0|Matches
185|Jay Fulton|sct SCO|MF|Swansea City|22|1994|7.7|2|0|0|10|11|1|5|7|20|0|0|0|Matches
186|Ramiro Funes Mori|ar ARG|DF|Everton|25|1991|17.1|0|0|0|11|15|1|5|33|17|0|0|0|Matches
187|Manolo Gabbiadini|it ITA|FW|Southampton|24|1991|8.0|1|0|0|9|10|10|3|3|3|0|0|0|Matches
188|Brendan Galloway|zw ZIM|DF|West Brom|20|1996|2.7|0|0|0|6|3|0|3|7|6|0|1|0|Matches
189|Idrissa Gana Gueye|sn SEN|MF|Everton|26|1989|29.8|11|0|0|51|53|0|13|77|103|1|0|0|Matches
190|Aleix García|es ESP|MF|Manchester City|19|1997|0.9|0|0|0|0|4|0|1|4|2|0|0|0|Matches
191|Craig Gardner|eng ENG|MF|West Brom|29|1986|2.4|1|0|0|8|2|0|12|2|3|0|0|0|Matches
192|David de Gea|es ESP|GK|Manchester Utd|25|1990|35.0|2|0|0|0|2|0|0|0|0|0|0|0|Matches
193|Rudy Gestede|bj BEN|FW|Middlesbrough|27|1988|5.9|3|0|0|8|12|3|2|3|6|0|0|0|Matches
194|Kieran Gibbs|eng ENG|"DF,MF"|Arsenal|26|1989|7.8|3|0|0|11|1|0|31|10|7|0|0|0|Matches
195|Ben Gibson|eng ENG|DF|Middlesbrough|23|1993|38.0|4|0|0|19|16|1|0|59|27|0|0|0|Matches
196|Darron Gibson|ie IRL|MF|Sunderland|28|1987|7.1|4|0|0|12|0|0|12|13|11|0|0|0|Matches
